"Fatalities","Injured","state"
29,25,"Alabama"
2,2,"Alaska"
44,26,"Arizona"
5,11,"Arkansas"
173,201,"California"
43,109,"Colorado"
42,4,"Connecticut"
119,138,"Florida"
40,47,"Georgia"
7,0,"Hawaii"
3,1,"Idaho"
36,45,"Illinois"
0,5,"Indiana"
6,1,"Iowa"
13,31,"Kansas"
27,18,"Kentucky"
14,35,"Louisiana"
4,0,"Maine"
12,15,"Massachusetts"
22,17,"Michigan"
22,12,"Minnesota"
13,21,"Mississippi"
14,7,"Missouri"
6,3,"Montana"
14,12,"Nebraska"
13,17,"Nevada"
8,4,"New Jersey"
9,5,"New Mexico"
42,53,"New York"
40,21,"North Carolina"
24,33,"Ohio"
26,12,"Oklahoma"
17,43,"Oregon"
29,28,"Pennsylvania"
18,21,"South Carolina"
6,0,"South Dakota"
12,12,"Tennessee"
113,149,"Texas"
4,0,"Texas "
7,7,"Utah"
2,2,"Vermont"
48,31,"Virginia"
73,37,"Washington"
13,3,"Washington D.C."
5,0,"West Virginia"
42,22,"Wisconsin"
1,4,"Wyoming"
